20190083,I Lost My Body (2019),83,81,96,149
20190084,Shadow (2019),84,115,95,376
20190085,Ray & Liz (2019),85,107,96,310
20190086,In Fabric (2019),86,118,92,297
20190087,Be Natural: The Untold Story of Alice Guy-Blach\xe9 (2019),87,103,95,283
20190088,High Flying Bird (2019),88,90,93,342
20190089,The Two Popes (2019),89,125,89,124
20190090,Bad Education (2019),90,108,93,87
20190091,Monos (2019),91,102,92,12
20190092,Harpoon (2019),92,83,96,314
20190093,The LEGO Movie 2: The Second Part (2019),93,90,85,264
20190094,Luce (2019),94,109,91,192
20190095,Mike Wallace Is Here (2019),95,90,94,42
20190096,An Elephant Sitting Still (Da xiang xi di er zuo) (2019),96,230,96,145
20190097,Jojo Rabbit (2019),97,108,79,346
20190098,The Souvenir (2019),98,119,90,168
20190099,The Kid Who Would Be King (2019),99,119,89,170
20190100,Ask Dr. Ruth (2019),100,100,94,321
20200001,Portrait of a Lady on Fire (Portrait de la jeune fille en feu) (2020),1,119,98,66
20200002,1917 (2020),2,110,89,325
20200003,The Invisible Man (2020),3,110,91,215
20200004,Never Rarely Sometimes Always (2020),4,95,99,116
20200005,Blow the Man Down (2020),5,90,99,100
20200006,Onward (2020),6,114,88,95
20200007,Crip Camp: A Disability Revolution (2020),7,106,100,273
20200008,Extra Ordinary (2020),8,93,98,262
20200009,Slay the Dragon (2020),9,101,100,43
20200010,On the Record (2020),10,95,100,203
20200011,The Assistant (2020),11,87,91,205
20200012,First Cow (2020),12,122,96,199
20200013,Vitalina Varela (2020),13,124,98,292
20200014,Corpus Christi (Boze cialo) (2020),14,116,97,157
20200015,Why Don't You Just Die! (Papa; sdokhni) (2020),15,95,97,204
20200016,The Half of It (2020),16,95,96,21
20200017,Come As You Are (2020),17,106,98,313
20200018,Lucky Grandma (2020),18,87,98,328
20200019,The Painter and the Thief (2020),19,102,96,49
20200020,A Shaun the Sheep Movie: Farmageddon (2020),20,86,96,312
20200021,The Vast of Night (2020),21,89,92,27
20200022,Saint Frances (2020),22,98,96,15
20200023,Beastie Boys Story (2020),23,120,95,334
20200024,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn) (2020),24,NULL,78,71
20200025,Blood on Her Name (2020),25,83,96,251
20200026,The Personal History of David Copperfield (2020),26,116,94,38
20200027,Bacurau (Nighthawk) (2020),27,132,91,206
20200028,Shirley (2020),28,107,91,184
20200029,Ordinary Love (2020),29,91,93,218
20200030,Emma. (2020),30,NULL,86,41
20200031,Just Mercy (2020),31,136,83,109
20200032,A White; White Day (Hv\xedtur; hv\xedtur dagur) (2020),32,109,95,144
20200033,Becoming (2020),33,89,93,268
20200034,Premature (2020),34,91,94,308
20200035,Miss Americana (2020),35,86,92,211
20200036,And Then We Danced (2020),36,113,92,216
20200037,Weathering with You (2020),37,111,91,231
20200038,Beanpole (Dylda) (2020),38,139,91,196
20200039,The Wild Goose Lake (Nan fang che zhan de ju hui) (2020),39,117,92,111
20200040,End of Sentence (2020),40,96,93,115
20200041,Sorry We Missed You (2020),41,102,88,201
20200042,Color Out of Space (2020),42,110,86,311
20200043,Uncorked (2020),43,104,93,300
20200044,The Perfect Candidate (2020),44,101,93,141
20200045,Bull (2020),45,105,90,33
20200046,Selah and the Spades (2020),46,89,89,350
20200047,The Trip to Greece (2020),47,112,89,259
20200048,Swallow (2020),48,94,88,69
20200049,Promising Young Woman (2020),49,113,91,118
20200050,A Good Woman Is Hard to Find (2020),50,97,91,3
20200051,The Willoughbys (2020),51,92,90,208
20200052,Spaceship Earth (2020),52,115,88,249
20200053,The Way Back (2020),53,108,84,131
20200054,Les Mis\xe9rables (2020),54,103,85,210
20200055,Zola (2020),55,90,89,158
20200056,Banana Split (2020),56,84,89,48
20200057,Come to Daddy (2020),57,93,86,34
20200058,Bad Boys for Life (2020),58,123,77,4
20200059,Zombi Child (2020),59,103,86,52
20200060,The Truth (La v\xe9rit\xe9) (2020),60,106,86,143
20200061,Sea Fever (2020),61,89,85,271
20200062,Deerskin (2020),62,77,85,301
20200063,Sometimes Always Never (Triple Word Score) (2020),63,91,87,67
20200064,The Whistlers (2020),64,97,83,86
20200065,The Gentlemen (2020),65,103,75,140
