movie_id,Title,Genre
20140043,Finding Vivian Maier (2014),Documentary
20140043,Finding Vivian Maier (2014),Special Interest
20140044,Frank (2014),Comedy
20140044,Frank (2014),Drama
20140045,How to Train Your Dragon 2 (2014),Action & Adventure
20140045,How to Train Your Dragon 2 (2014),Animation
20140045,How to Train Your Dragon 2 (2014),Kids & Family
20140045,How to Train Your Dragon 2 (2014),Science Fiction & Fantasy
20140046,20;000 Days on Earth (2014),Documentary
20140046,20;000 Days on Earth (2014),Special Interest
20140046,20;000 Days on Earth (2014),Musical & Performing Arts
20140047,Big Hero 6 (2014),Animation
20140047,Big Hero 6 (2014),Kids & Family
20140048,Manakamana (2014),Documentary
20140048,Manakamana (2014),Special Interest
20140049,Stranger by the Lake (2014),Drama
20140049,Stranger by the Lake (2014),Mystery & Suspense
20140050,Particle Fever (2014),Documentary
20140051,The Last of the Unjust (2014),Documentary
20140051,The Last of the Unjust (2014),Special Interest
20140052,National Gallery (2014),Documentary
20140052,National Gallery (2014),Special Interest
20140053,The Rocket (2014),Drama
20140054,Last Days in Vietnam (2014),Documentary
20140054,Last Days in Vietnam (2014),Special Interest
20140055,Foxcatcher (2014),Drama
20140056,The Drop (2014),Drama
20140057,Pride (2014),Comedy
20140057,Pride (2014),Drama
20140058,Obvious Child (2014),Comedy
20140058,Obvious Child (2014),Romance
20140059,Housebound (2014),Comedy
20140059,Housebound (2014),Mystery & Suspense
20140060,Dear White People (2014),Comedy
20140061,The Dance of Reality (2014),Drama
20140062,Calvary (2014),Art House & International
20140062,Calvary (2014),Comedy
20140062,Calvary (2014),Drama
20140063,The Normal Heart (2014),Television
20140064,Diplomacy (2014),Drama
20140065,The Guest (2014),Mystery & Suspense
20140066,The Wind Rises (2014),Animation
20140066,The Wind Rises (2014),Art House & International
20140066,The Wind Rises (2014),Drama
20140067,Child's Pose (2014),Drama
20140068,Le Week-End (2014),Drama
20140069,Under the Skin (2014),Science Fiction & Fantasy
20140070,The Internet's Own Boy: The Story of Aaron Swartz (2014),Documentary
20140070,The Internet's Own Boy: The Story of Aaron Swartz (2014),Special Interest
20140071,A Most Wanted Man (2014),Drama
20140071,A Most Wanted Man (2014),Mystery & Suspense
20140072,John Wick (2014),Action & Adventure
20140073,Chef (2014),Comedy
20140074,She's Beautiful When She's Angry (2014),Special Interest
20140074,She's Beautiful When She's Angry (2014),Documentary
20140075,Norte; the End of History (2014),Drama
20140076,Mistaken for Strangers (2014),Comedy
20140076,Mistaken for Strangers (2014),Musical & Performing Arts
20140076,Mistaken for Strangers (2014),Documentary
20140077,Tim's Vermeer (2014),Special Interest
20140077,Tim's Vermeer (2014),Documentary
20140077,Tim's Vermeer (2014),Drama
20140078,In Bloom (2014),Drama
20140079,12 O'clock Boys (2014),Documentary
20140079,12 O'clock Boys (2014),Special Interest
20140080,The Skeleton Twins (2014),Comedy
20140080,The Skeleton Twins (2014),Drama
20140081,Top Five (2014),Comedy
20140082,Venus in Fur (2014),Comedy
20140082,Venus in Fur (2014),Drama
20140083,Omar (2014),Drama
20140084,Only Lovers Left Alive (2014),Drama
20140085,The Dog (2014),Documentary
20140085,The Dog (2014),Drama
20140086,Disneynature Bears (2014),Kids & Family
20140087,22 Jump Street (2014),Action & Adventure
20140087,22 Jump Street (2014),Comedy
20140088,The Blue Room (La chambre bleue) (2014),Drama
20140088,The Blue Room (La chambre bleue) (2014),Mystery & Suspense
20140089,Wetlands (2014),Comedy
20140089,Wetlands (2014),Drama
20140090,Art and Craft (2014),Documentary
20140090,Art and Craft (2014),Special Interest
20140091,Closed Curtain (2014),Drama
20140092,The Trip To Italy (2014),Comedy
20140092,The Trip To Italy (2014),Drama
20140093,Night Moves (2014),Drama
20140094,Cheap Thrills (2014),Mystery & Suspense
20140094,Cheap Thrills (2014),Comedy
20140095,To Be Takei (2014),Documentary
20140095,To Be Takei (2014),Special Interest
20140096,The Kill Team (2014),Documentary
20140096,The Kill Team (2014),Special Interest
20140097,Coherence (2014),Drama
20140097,Coherence (2014),Science Fiction & Fantasy
20140098,The Case Against 8 (2014),Documentary
20140098,The Case Against 8 (2014),Special Interest
20140099,Siddharth (2014),Drama
20140100,Adieu au langage (Goodbye to Language) (2014),Drama
20150001,Mad Max: Fury Road (2015),Action & Adventure
20150001,Mad Max: Fury Road (2015),Science Fiction & Fantasy
20150002,Inside Out (2015),Animation
